Title,Features.Max Players,Features.Multiplatform?,Features.Online?,Metadata.Genres,Metadata.Publishers,Price,Release.Console,Release.Year,Length.Completionists.Polled,Length.Main Story.Average
?kami,1,True,True,Action,Capcom,17.95,Nintendo Wii,2008,70,36.96666666666667
007: From Russia with Love,1,True,True,"Action,Racing / Driving",EA,17.95,Sony PSP,2006,0,6.333333333333333
300: March to Glory,1,True,True,Action,Eidos,14.95,Sony PSP,2007,0,7.4
7 Wonders of the Ancient World,1,True,True,Strategy,,17.95,Nintendo DS,2007,0,7.483333333333333
AC/DC Live: Rock Band - Track Pack,4,True,True,"Action,Simulation",,14.95,X360,2008,0,3.6333333333333333
Ace Combat 6: Fires of Liberation,1,True,True,"Action,Simulation",Namco,19.95,X360,2007,0,12.416666666666666
Ace Combat X: Skies of Deception,1,True,True,"Action,Simulation",Namco,22.95,Sony PSP,2006,1,4.183333333333334
Advance Wars: Days of Ruin,4,True,True,Strategy,Nintendo,17.95,Nintendo DS,2008,3,20.116666666666667
Advance Wars: Dual Strike,1,True,True,Strategy,Nintendo,17.95,Nintendo DS,2005,4,24.2
Afrika,1,True,True,"Adventure,Simulation",Sony,47.95,PlayStation 3,2008,5,23.666666666666668
After Burner: Black Falcon,1,True,True,Action,Sega,19.95,Sony PSP,2007,0,0.0
Agatha Christie: And Then There Were None,1,True,True,Adventure,,17.95,Nintendo Wii,2008,2,7.166666666666667
Agatha Christie: Evil Under the Sun,1,True,True,Adventure,,17.95,Nintendo Wii,2008,1,9.25
Age of Empires: Mythologies,1,True,True,Strategy,THQ,17.95,Nintendo DS,2008,1,0.0
Age of Empires: The Age of Kings,1,True,True,Strategy,,17.95,Nintendo DS,2006,9,46.15
Alex Rider: Stormbreaker,1,True,True,"Action,Adventure",THQ,12.95,Nintendo DS,2006,1,0.0
Alien Syndrome,1,True,True,Action,Sega,12.95,Sony PSP,2007,1,3.05
Aliens Vs Predator: Requiem,2,True,True,Action,,17.95,Sony PSP,2007,0,0.0
All-Pro Football 2K8,4,True,True,Sports,2K,7.95,X360,2007,0,12.0
Alone in the Dark,1,True,True,"Action,Adventure,Racing / Driving",Atari,14.95,X360,2008,4,5.866666666666667
Amped 3,1,True,True,Sports,2K,14.95,X360,2005,2,6.333333333333333
Animal Crossing: City Folk,1,True,True,Simulation,Nintendo,29.95,Nintendo Wii,2008,2,69.83333333333333
Animal Crossing: Wild World,1,True,True,Simulation,Nintendo,24.95,Nintendo DS,2005,4,72.38333333333334
Anubis II,1,True,True,Action,,9.95,Nintendo Wii,2007,0,0.0
Ape Escape Academy,4,True,True,"Action,Sports",Sony,14.95,Sony PSP,2004,0,1.8833333333333333
Apollo Justice: Ace Attorney,1,True,True,"Adventure,Simulation",Capcom,24.95,Nintendo DS,2008,39,19.516666666666666
Arkanoid DS,1,True,True,Strategy,SquareEnix,16.95,Nintendo DS,2007,0,0.0
Armored Core 4,2,True,True,Action,Sega,19.95,PlayStation 3,2006,0,23.0
Armored Core: For Answer,1,True,True,Action,Ubisoft,29.95,PlayStation 3,2008,2,10.25
Armored Core: Formula Front - Extreme Battle,1,True,True,"Action,Strategy",,16.95,Sony PSP,2004,0,0.0
Army of Two,2,True,True,Action,EA,16.95,X360,2008,0,6.566666666666666
Asphalt: Urban GT,1,True,True,"Racing / Driving,Simulation",Ubisoft,14.95,Nintendo DS,2004,1,15.0
Assassin's Creed,1,True,True,Action,Ubisoft,16.95,X360,2007,115,15.3
Assassin's Creed: Altar's Chronicles,1,True,True,Action,Ubisoft,11.95,Nintendo DS,2008,5,5.183333333333334
Astonishia Story,1,True,True,"Role-Playing (RPG),Strategy",Ubisoft,16.95,Sony PSP,2006,1,19.15
ATV Offroad Fury: Blazin' Trails,4,True,True,"Racing / Driving,Sports",Sony,12.95,Sony PSP,2005,0,0.0
ATV Quad Frenzy,1,True,True,"Racing / Driving,Sports",,14.95,Nintendo DS,2005,0,0.0
Avalon Code,1,True,True,"Action,Adventure,Role-Playing (RPG)",,27.95,Nintendo DS,2008,2,21.0
Avatar: The Last Airbender,1,True,True,Action,THQ,17.95,Nintendo DS,2006,5,5.333333333333333
B-Boy,1,True,True,Action,Sony,17.95,Sony PSP,2006,0,0.0
Baja: Edge of Control,4,True,True,"Racing / Driving,Simulation,Sports",THQ,16.95,X360,2008,0,0.0
Bangai-O Spirits,1,True,True,Action,,14.95,Nintendo DS,2008,1,8.0
Banjo-Kazooie: Nuts & Bolts,1,True,True,"Action,Adventure,Racing / Driving,Sports",Microsoft,17.95,X360,2008,8,16.183333333333334
Barnyard,1,True,True,"Action,Adventure",THQ,17.95,Nintendo Wii,2007,0,0.0
Baroque,1,True,True,"Action,Role-Playing (RPG)",,19.95,Nintendo Wii,2008,0,7.783333333333333
Battle Fantasia,2,True,True,"Action,Role-Playing (RPG)",,22.95,X360,2008,0,1.1333333333333333
Battle of the Bands,2,True,True,"Action,Simulation",THQ,14.95,Nintendo Wii,2008,0,0.0
Battlefield 2: Modern Combat,4,True,True,Action,EA,16.95,X360,2005,0,6.733333333333333
Battlefield: Bad Company,1,True,True,Action,EA,16.95,X360,2008,17,6.85
Battles of Prince of Persia,1,True,True,Strategy,Ubisoft,14.95,Nintendo DS,2005,0,8.5
Battlestations: Midway,1,True,True,"Action,Strategy",Eidos,17.95,X360,2007,0,8.3
BattleZone,1,True,True,Action,Atari,14.95,Sony PSP,2006,0,0.0
Beautiful Katamari,1,True,True,Action,Namco,17.95,X360,2007,2,5.866666666666667
Bee Movie Game,1,True,True,Adventure,Activision,17.95,Nintendo DS,2007,1,5.916666666666667
Beijing 2008,4,True,True,Sports,Sega,14.95,X360,2008,0,0.0
Ben 10: Protector of the Earth,1,True,True,Action,,16.95,Nintendo Wii,2007,3,4.816666666666666
Beowulf: The Game,1,True,True,Action,Ubisoft,12.95,X360,2007,0,11.533333333333333
Big Brain Academy,1,True,True,Action,Nintendo,16.95,Nintendo DS,2005,3,4.3
Big Brain Academy: Wii Degree,8,True,True,Action,Nintendo,19.95,Nintendo Wii,2007,0,0.0
Bionicle Heroes,1,True,True,Action,Eidos,16.95,Nintendo DS,2006,5,8.55
BioShock,1,True,True,Action,2K,16.95,X360,2007,214,12.266666666666667
BlackSite: Area 51,1,True,True,Action,Midway,17.95,X360,2007,2,5.733333333333333
Blade Dancer: Lineage of Light,1,True,True,Role-Playing (RPG),,16.95,Sony PSP,2006,1,29.75
Bladestorm: The Hundred Years' War,1,True,True,"Action,Role-Playing (RPG),Strategy",,44.95,PlayStation 3,2007,0,0.0
"Blast Works: Build, Trade, Destroy",4,True,True,Action,,14.95,Nintendo Wii,2008,0,0.0
Blazing Angels 2: Secret Missions of WWII,2,True,True,Action,Ubisoft,16.95,X360,2007,0,10.0
Blazing Angels: Squadrons of WWII,2,True,True,Action,Ubisoft,16.95,X360,2006,0,0.0
Bleach: The Blade of Fate,1,True,True,Action,Sega,17.95,Nintendo DS,2007,2,5.55
Blitz: The League,2,True,True,Sports,Midway,14.95,X360,2006,0,15.0
Blitz: The League II,2,True,True,"Action,Sports",Midway,14.95,PlayStation 3,2008,0,20.0
Blue Dragon,1,True,True,Role-Playing (RPG),Microsoft,14.95,X360,2006,9,44.5
Bomberman,1,True,True,Strategy,Ubisoft,17.95,Nintendo DS,2005,0,3.3333333333333335
Bomberman Land,4,True,True,Action,,19.95,Nintendo Wii,2008,0,0.0
Bomberman Land Touch!,1,True,True,Action,,24.95,Nintendo DS,2006,0,15.0
